"DENOM_COMERC","CD_CVM","SETOR_ATIV","AUDITOR"
"COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-GYRA",25020,"Securitização de Recebíveis","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-PROVI",25267,"Securitização de Recebíveis","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"COMPANHIA SECURITIZADORA DE CRÉD. FINANCEIROS VERT-FINTECH",24511,"Securitização de Recebíveis","KPMG AUDITORES INDEPENDENTES LTDA."
"COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-VIRTUS",26263,"Securitização de Recebíveis","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"COSIPA",18317,"Metalurgia e Siderurgia","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SUZANO",4065,"Papel e Celulose","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"CIA HABITASUL DE PARTICIPAÇÕES",3298,"Emp. Adm. Part. - Crédito Imobiliário","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"COMPAQ FINANCIAL SERVICES ARRENDAMENTO MERCANTIL",14990,"Arrendamento Mercantil","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"COMPAR",4588,"Bebidas e Fumo","REYNALDO DE SOUZA MELLO"
"COMPASS GÁS E ENERGIA S.A.",25127,"Emp. Adm. Part. - Saneamento, Serv. Água e Gás","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"COMPESCA",4596,"Pesca","GRUPO AUDI AUDITORES INDEPENDENTES"
"COMPRUGRAF",14230,"Máquinas, Equipamentos, Veículos e Peças","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"CONCESSIONARIA RODOVIAS TIETE SA",22721,"Serviços Transporte e Logística","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"",23515,"Serviços Transporte e Logística","MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA."
"CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.",23868,"Serviços Transporte e Logística","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"CONCES DA ROD OSORIO-POA S/A - CONCEPA",17590,"Serviços Transporte e Logística","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"METRÔ RIO",16810,"Serviços Transporte e Logística","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"METRÔRIO",22144,"Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"CONCESSIONARIA AUTO RAPOSO TAVARES SA-CART",22268,"Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"CONCESSIONÁRIA BR-040 S.A.",23892,"Serviços Transporte e Logística","MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA."
"CONCESSIONARIA CATARINENSE DE RODOVIAS S.A.",26859,"Emp. Adm. Part. - Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"CONCESSIONÁRIA DA RODOVIA MG-050 S.A.",24104,"Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"CONCESSIONÁRIA DAS RODOVIAS AYRTON SENNA E CARVALHO PINTO S/A",22411,"Serviços Transporte e Logística","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CONCESSÁRIA DAS RODOVIAS INTEGRADAS DO SUL S.A.",25356,"Emp. Adm. Part. - Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"CONCESSIONÁRIA DE RODOVIA SUL-MATOGROSSENSE S.A.",23833,"Emp. Adm. Part. - Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"INTERVIAS",21849,"Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"CONC ROD DO OESTE DE S.PAULO-VIAOESTE SA",21024,"Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"CONCESSIONÁRIA DE RODOVIAS NOROESTE PAULISTA S.A",27464,"Serviços Transporte e Logística","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CONCESSIONÁRIA SO SISTEMA ANHANGUERA BANDEIRANTES S/A",20192,"Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"CONCESSIONÁRIA DO SISTEMA RODOVIÁRIO RIO-SÃO PAULO S.A",27421,"Emp. Adm. Part. - Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"CONCESSIONARIA ECOVIAS DO ARAGUAIA S.A.",26638,"Serviços Transporte e Logística","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CONCESSIONÁRIA ECOVIAS DO CERRADO S.A.",26581,"Serviços Transporte e Logística","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ECOVIAS DOS IMIGRANTES",20397,"Serviços Transporte e Logística","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CONCESSIONARIA PONTE RIO-NITERÓI S.A. - ECOPONTE",24139,"Serviços Transporte e Logística","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CRT SA",19208,"Serviços Transporte e Logística","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"NOVADUTRA",19577,"Emp. Adm. Part. - Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A",22071,"Serviços Transporte e Logística","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"CONCESSIONARIA ROTA DE SANTA MARIA S.A",27294,"Serviços Transporte e Logística","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"CONCESSIONÁRIA ROTA DO OESTE S.A.",23922,"Serviços Transporte e Logística","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"CONCESSIONÁRIA VIARIO S.A.",27405,"Emp. Adm. Part. - Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"CONCIC",4600,"Construção Civil, Mat. Constr. e Decoração","AUDIN - AUDITORES INDEPENDENTES S/C"
"CONCRETEX",4618,"Construção Civil, Mat. Constr. e Decoração","RUHTRA S/C"
"CONDOMINIUM VILLAGE",15660,"Construção Civil, Mat. Constr. e Decoração","BAZZANEZE AUDITORES INDEPENDENTES S/S"
"CONEPAR",19054,"Emp. Adm. Participações","DIRECTA AUDITORES"
"TENARISCONFAB",4650,"Metalurgia e Siderurgia","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"CONFIANZA SECURITIZADORA SA",18236,"Emp. Adm. Part. - Securitização de Recebíveis","BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES LTDA."
"CONFORJA",4677,"Metalurgia e Siderurgia","CONFIDOR AUDITORES ASSOCIADOS"
"CONOVER",15563,"Comércio Exterior","KPMG AUDITORES INDEPENDENTES LTDA."
"CONPART",13544,"Máquinas, Equipamentos, Veículos e Peças","OPINION AUDITORES INDEPENDENTES EPP"
"CONPEL CIA. NORDESTINA DE PAPEL - EM RECUPERAÇÃO JUDICIAL",4685,"Embalagens","ALPHA - AUDITORES INDEPENDENTES"
"CONSERVAS ODERICH SA",4693,"Alimentos","TATICCA AUDITORES INDEPENDENTES S.S. - EPP"
"CONSIGNADOS I COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS",24899,"Securitização de Recebíveis","KPMG AUDITORES INDEPENDENTES LTDA."
"CONSORCIO ALFA",4707,"Emp. Adm. Part. - Intermediação Financeira","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"CONSPREVI SA",15814,"Construção Civil, Mat. Constr. e Decoração","VGA AUDITORES INDEPENDENTES SOCIEDADE SIMPLES LTDA"
"ANDRADE GUTIERREZ",4740,"Construção Civil, Mat. Constr. e Decoração","FERNANDO MOTTA & ASSOCIADOS - AUDITORES INDEPENDENTES"
"CENTENARIO",13277,"Construção Civil, Mat. Constr. e Decoração","RUHTRA S/C"
"CONCISA",4766,"Construção Civil, Mat. Constr. e Decoração","AUDSTAFF AUDITORES INDEP SC"
"LIX DA CUNHA",4774,"Construção Civil, Mat. Constr. e Decoração","AUDITBRASIL AUDITORES INDEPENDENTES S/S"
"CONST PRESIDENTE",11959,"Construção Civil, Mat. Constr. e Decoração","LOUDON BLOMQUIST AUDITORES INDEPENDENTES"
"CAMARGO CORREA",4715,"Construção Civil, Mat. Constr. e Decoração","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"CAL S/A",4723,"Construção Civil, Mat. Constr. e Decoração","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"CONSTRUTORA BETER S/A.",4758,"Construção Civil, Mat. Constr. e Decoração","PLANNERS AUDITORES INDEPENDENTES"
"CONSTRUTORA METROCASA S.A.",27340,"Construção Civil, Mat. Constr. e Decoração","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"NORBERTO ODEBRECHT",4790,"Construção Civil, Mat. Constr. e Decoração","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CONSTRUTORA SULTEPA S/A",13030,"Construção Civil, Mat. Constr. e Decoração","LOPES & ASSOCIADOS AUDITORES"
"CONSTRUTORA TENDA S/A",21148,"Construção Civil, Mat. Constr. e Decoração","KPMG AUDITORES INDEPENDENTES LTDA."
"CONSUL",4804,"Máquinas, Equipamentos, Veículos e Peças","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ETHOS SECURITIZADORA S/A",23256,"Securitização de Recebíveis","MJK AUDITORES INDEPENDENTES"
"CONTAGEM SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.",24651,"Securitização de Recebíveis","RUSSELL BEDFORD GM AUDITORES INDEPENDENTES S/S"
"CONTEX SA",13820,"Têxtil e Vestuário","DIRECTA AUDITORES"
"CONVAP",4731,"Construção Civil, Mat. Constr. e Decoração","CARLOS LUIZ FERREIRA"
"BANJUL PARTICIPAÇÕES SA",21598,"Emp. Adm. Part. - Sem Setor Principal","KPMG AUDITORES ASSOCIADOS"
"COPALA",4812,"Metalurgia e Siderurgia","WALTER HEUER AUDITORES INDEPENDENTES"
"COPEL DISTRIBUIÇÃO S.A.",26808,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"COPEL GERAÇÃO E TRANSMISSÃO S/A",24740,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CONEPAR",4642,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"COPERSUCAR SA",22535,"Agricultura (Açúcar, Álcool e Cana)","KPMG AUDITORES ASSOCIADOS"
"COPESUL",14044,"Petroquímicos e Borracha","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CIA PIAUIENSE DE SECURITIZAÇÃO DE CRÉDITOS FINANCEIROS S.A.",24570,"Securitização de Recebíveis","RUSSELL BEDFORD GM AUDITORES INDEPENDENTES S/S"
"CORBETTA",4839,"Têxtil e Vestuário","KPMG AUDITORES INDEPENDENTES LTDA."
"COREVA",4847,"Petroquímicos e Borracha","SOTECONTI AUDITORES INDEP SC"
"CORREA RIBEIRO SA COM. IND.",4863,"Construção Civil, Mat. Constr. e Decoração","SANTANA & SOUSA AUDITORES INDEPENDENTES"
"CORREDOR LOGÍSTICA E INFRAESTRUTURA S.A.",27260,"Serviços Transporte e Logística","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"COSAN ALIMENTOS S.A.",20923,"Agricultura (Açúcar, Álcool e Cana)","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"COSAN LOGÍSTICA S.A.",23485,"Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"COSAN SA INDUSTRIA E COMERCIO",19836,"Agricultura (Açúcar, Álcool e Cana)","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"USINA COSTA PINTO S/A AÇÚCAR E ÁLCOOL",12220,"Agricultura (Açúcar, Álcool e Cana)","KPMG AUDITORES ASSOCIADOS"
"COTONIFICIO BELTRAMO",4871,"Têxtil e Vestuário","ALEXANDRE MOREIRA DE SOUSA"
"COTON JOSE RUFINO",4901,"Têxtil e Vestuário","AUDIMEC AUDITORES INDEPENDENTES S/S - EPP"
"CP CIMENTO E PARTICIPAÇÕES S/A",19216,"Emp. Adm. Part. - Extração Mineral","DIRECTA AUDITORES"
"CPFL ENERGIA S.A.",18660,"Emp. Adm. Part. - Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CPFL RENOVÁVEIS",20540,"Emp. Adm. Part. - Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CPFL GERAÇÂO DE ENERGIA S/A",18953,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CPFL JAGUARIÚNA",20281,"Energia Elétrica","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"CPM BRAXIS S/A",20290,"Comunicação e Informática","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CR2 CIA SECURITIZADORA DE CREDITOS IMOBILIÁRIOS",19666,"Securitização de Recebíveis","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"CREDGRID SERVIÇOS FINANCEIROS S.A.",26972,"Emp. Adm. Part. - Intermediação Financeira","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"CREDICARD",4936,"Serviços Diversos","PEAT MARWICK MITCHELL & CO"
"CREDIT COML FRANCE",11665,"Arrendamento Mercantil","PEAT MARWICK MITCHELL & CO"
"CREDITAQUI FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",8540,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CREMER S.A.",4960,"Têxtil e Vestuário","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"CREMER S.A.",20141,"Têxtil e Vestuário","KPMG AUDITORES INDEPENDENTES LTDA."
"CRESAL",12955,"Comércio Exterior","BIANCHESSI & CIA  AUDITORES"
"CRUZEIRO DO SUL EDUCACIONAL S.A.",25526,"Educação","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CRUZEIRO DO SUL",4995,"Serviços Transporte e Logística","AKW AUDITORES INDEPENDENTES S/S"
"CS BRASIL PARTICIPAÇÕES E LOCAÇÕES S.A.",25739,"Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"CSA-COMPANHIA SECURITIZADORA DE ATIVOS",19470,"Securitização de Recebíveis","COTRIM & ASSOCIADOS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES"
"CSM",16020,"Máquinas, Equipamentos, Veículos e Peças","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"CSN MINERAÇÃO S.A",25585,"Extração Mineral","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"CSU DIGITAL S.A.",20044,"Emp. Adm. Part. - Sem Setor Principal","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.",23981,"Agricultura (Açúcar, Álcool e Cana)","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"CTEEP",18376,"Energia Elétrica","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"TIM",17086,"Telecomunicações","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"CTN",16799,"Têxtil e Vestuário","VEECK & CIA.  AUDITORES"
"CTX PARTICIPAÇÕES S/A",21652,"Emp. Adm. Part. - Telecomunicações","KPMG AUDITORES INDEPENDENTES LTDA."
"CURT",12076,"Máquinas, Equipamentos, Veículos e Peças","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"CURTINBRA",5002,"Têxtil e Vestuário","ARTHUR ANDERSEN BIEDERMANN A I"
"CURTUMES NORDESTE",5010,"Têxtil e Vestuário","REYNALDO DE SOUZA MELLO"
"",25100,"Construção Civil, Mat. Constr. e Decoração","KPMG AUDITORES INDEPENDENTES LTDA."
"CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA",23310,"Hospedagem e Turismo","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"",25542,"Comércio (Atacado e Varejo)","KPMG AUDITORES INDEPENDENTES LTDA."
"CYRELA BRAZIL REALTY S.A.",14460,"Construção Civil, Mat. Constr. e Decoração","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"CZARINA",12742,"Têxtil e Vestuário","KPMG AUDITORES INDEPENDENTES LTDA."
"D F VASCONCELLOS S/A O.M.A.P.",5029,"Máquinas, Equipamentos, Veículos e Peças","AUDILINK & CIA. AUDITORES"
"",25046,"Comércio (Atacado e Varejo)","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"DACUNHA",5037,"Serviços Transporte e Logística","ALONSO, BARRETTO  & CIA. -  AUDITORES INDEPENDENTES"
"DADALTO",5045,"Comércio (Atacado e Varejo)","BIANCHESSI & CIA  AUDITORES"
"DALETH PARTICIPAÇÕES S.A.",16950,"Emp. Adm. Part. - Saneamento, Serv. Água e Gás","DIRECTA AUDITORES"
"DANA-ALBARUS S/A INDÚSTRIA E COMÉRCIO",248,"Máquinas, Equipamentos, Veículos e Peças","CHARNESKI AUDITORES INDEPENDENTES"
"",24414,"Têxtil e Vestuário","KPMG AUDITORES INDEPENDENTES LTDA."
"DATAMEC",5061,"Comunicação e Informática","KPMG AUDITORES ASSOCIADOS"
"DATASUL S/A",20095,"Comunicação e Informática","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"",26557,"Comunicação e Informática","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"DE ANTONI",5070,"Máquinas, Equipamentos, Veículos e Peças","CALIXTO MAXIMILIANO RASIA"
"EMEEGE ESCAPAMENTOS",5088,"Máquinas, Equipamentos, Veículos e Peças","ETAE AUDITORES INDEPENDENTES"
"DEDINI PART",5096,"Emp. Adm. Participações","KPMG AUDITORES INDEPENDENTES LTDA."
"DEDINI SIDERURGICA",5100,"Metalurgia e Siderurgia","KPMG AUDITORES INDEPENDENTES LTDA."
"DEDIPAR",13625,"Emp. Adm. Participações","KPMG AUDITORES INDEPENDENTES LTDA."
"DELUXE MOTORS S.A",23191,"Emp. Adm. Part. - Serviços Transporte e Logística","PARANÁ AUDITORES ASSOCIADOS S/S"
"DERSA SA",14699,"Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"",27278,"Máquinas, Equipamentos, Veículos e Peças","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"DESKTOP S.A",26026,"Telecomunicações","KPMG AUDITORES INDEPENDENTES LTDA."
"DESTILARIA R S",5142,"Petroquímicos e Borracha","PEAT MARWICK MITCHELL & CO"
"DEXCO S.A.",21091,"Construção Civil, Mat. Constr. e Decoração","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"DEXXOS PARTICPAÇÕES S.A.",16632,"Emp. Adm. Part. - Sem Setor Principal","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"DFV",13390,"Máquinas, Equipamentos, Veículos e Peças","KPMG AUDITORES ASSOCIADOS"
"DHB",5150,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças","MOORE PRIME AUDITORES E CONSULTORES SOCIEDADE SIMPLES"
"DIAGNOSTICOS DA AMERICA SA",19623,"Serviços Médicos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"DIAMETRO",5169,"Construção Civil, Mat. Constr. e Decoração","CONTINENTAL AUDITORIA SC"
"DIAMONDMALL SA",15059,"Emp. Adm. Participações","RUHTRA S/C"
"DIBENS LEASING SA",14214,"Arrendamento Mercantil","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"DIGITEL",12858,"Comunicação e Informática","MGI ASSURANCE AUDITORES INDEPENDENTES SS"
"DIJON S/A",13838,"Comércio (Atacado e Varejo)",""
"PANVEL FARMÁCIAS",9342,"Comércio (Atacado e Varejo)","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"DINAMICA ENERGIA S/A",20052,"Emp. Adm. Part. - Energia Elétrica","BKR - LOPES, MACHADO AUDITORES"
"DIRECIONAL ENGENHARIA SA",21350,"Construção Civil, Mat. Constr. e Decoração","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"DISMAC INDL",5177,"Máquinas, Equipamentos, Veículos e Peças","ESC TEC AUDITORIA EMP ETAE SC"
"IPIRANGA DISTRIBUIDORA",5193,"Petróleo e Gás","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"PETROBAHIA",18945,"Petróleo e Gás","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"DIXIE LALEKLA",13846,"Outras Atividades Industriais","INSTITUTO NAC DE AUDITORES"
"DIXIE TOGA",14931,"Embalagens","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"DM FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",6076,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"DOCAS S.A.",3182,"Emp. Adm. Part. - Telecomunicações","LOUDON BLOMQUIST AUDITORES INDEPENDENTES"
"EL&M PARTICIPAÇÕES S/A",16870,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"DOHLER",5207,"Têxtil e Vestuário","VGA AUDITORES INDEPENDENTES SOCIEDADE SIMPLES LTDA"
"DOMINIUM PAR SA",15806,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"DOMINIUM",5215,"Alimentos","SALVADOR LUIZ DI FIORI"
"DOMMO EMPREENDIMENTOS IMOBILIÁRIOS S.A.",19070,"Emp. Adm. Part. - Arrendamento Mercantil","KPMG AUDITORES INDEPENDENTES LTDA."
"OGX PETRÓLEO E GÁS S.A.",23493,"Petróleo e Gás","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"DONA ISABEL",3212,"Têxtil e Vestuário","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"",26360,"Alimentos","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"DOTZ S.A",25836,"Comunicação e Informática","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"DOUAT CIA TEXTIL",11363,"Têxtil e Vestuário","MARTINELLI AUDITORES"
"DOVA",5223,"Metalurgia e Siderurgia","UHY BENDORAYTES & CIA AUDITORES INDEPENDENTES"
"DOW QUIMICA",5231,"Petroquímicos e Borracha","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BONFIM PARTICIPAÇÕES S/A",18511,"Emp. Adm. Participações","BKR - LOPES, MACHADO AUDITORES"
"DROGARIA CATARINENSE",5240,"Comércio (Atacado e Varejo)","PRÁTIKA AUDITORES INDEPENDENTES SOCIEDADE SIMPLES"
"DROGARIAS AMERICANAS SA",22837,"Farmacêutico e Higiene","PARANÁ AUDITORES ASSOCIADOS S/S"
"DTCOM",18597,"Telecomunicações","MÜLLER & PREI AUDITORES INDEPENDENTES S/S"
"MADEPAN",8257,"Construção Civil, Mat. Constr. e Decoração","KPMG AUDITORES INDEPENDENTES LTDA."
"DURATEX",5274,"Construção Civil, Mat. Constr. e Decoração","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"DUREX",620,"Máquinas, Equipamentos, Veículos e Peças","ADNER AUDITORIA E PLANEJAMENTO S/S"
"DUXXI IMOBILIÁRIA S.A.",22047,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"EASYPAR",17795,"Intermediação Financeira","KPMG AUDITORES ASSOCIADOS"
"EBX BRASIL SA",21784,"Emp. Adm. Part. - Serviços Transporte e Logística","ACAL CONSULTORIA E AUDITORIA S/S"
"ECIL",13331,"Máquinas, Equipamentos, Veículos e Peças","PP&C AUDITORES INDEPENDENTES S/S"
"ECISA",5339,"Construção Civil, Mat. Constr. e Decoração","AUDIVA AUDITORES INDEPENDENTES EPP"
"ECO HILLS SA",16578,"Construção Civil, Mat. Constr. e Decoração","JORDÃO ANDRÉ PESCH"
"ECO. SEC. DTOS. CREDIT. AGRONEGÓCIOS S/A",21741,"Securitização de Recebíveis","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CONCESSIONÁRIA DE RODOVIAS MINAS GERAIS S.A.",23884,"Serviços Transporte e Logística","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ECO101 CONCESSIONÁRIA DE RODOVIAS S.A.",23582,"Serviços Transporte e Logística","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ECONOMICO SA A M",13943,"Arrendamento Mercantil","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"ECONOMICO SA",13536,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ECORIOMINAS CONCESSIONÁRIA DE RODOVIAS S.A.",27456,"Serviços Transporte e Logística","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ECORODOVIAS CONCESSÕES E SERVIÇOS S/A",21903,"Emp. Adm. Part. - Serviços Transporte e Logística","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.",19453,"Serviços Transporte e Logística","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"EDAFO SECURITIZADORA S.A.",24325,"Securitização de Recebíveis","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"EDISA",5347,"Máquinas, Equipamentos, Veículos e Peças","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"EDITORA ABRIL S/A",19143,"Comunicação e Informática","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"EDITORA ABRIL SA",13706,"Gráficas e Editoras","ARTHUR ANDERSEN BIEDERMANN A I"
"EDITORA ABRIL SA",14281,"Gráficas e Editoras","ARTHUR ANDERSEN BIEDERMANN A I"
"EDITORA DE GUIAS LTB",5355,"Gráficas e Editoras","GUILHERME HERZOG FILHO"
"EDITORA LISA",8052,"Gráficas e Editoras","AUDITORIA H MATTOS SC"
"EDN",5363,"Petroquímicos e Borracha","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"EDP ENERGIAS DO BRASIL S/A",19763,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ESCELSA",15342,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
